protein,module_color
Q9BRC7,grey
Q9BRF8,brown
Q9BRG1,grey
Q9BRT3,yellow
Q9BRX2,red
Q9BRX8,green
Q9BS26,grey
Q9BS40,grey
Q9BS92,turquoise
Q9BSD7,grey
Q9BSE5,yellow
Q9BSH4,turquoise
Q9BSJ8,grey
Q9BSL1,turquoise
Q9BT78,brown
Q9BTE1,blue
Q9BTE6,yellow
Q9BTV4,blue
Q9BTZ2,turquoise
Q9BUB7,grey
Q9BUF5,blue
Q9BUK0,turquoise
Q9BUR5,turquoise
Q9BV20,grey
Q9BV23,black
Q9BV57,grey
Q9BV79,turquoise
Q9BV86,green
Q9BVC6,black
Q9BVK6,grey
Q9BVV7,green
Q9BW30,grey
Q9BW91,turquoise
Q9BWH2,black
Q9BX66,green
Q9BX68,pink
Q9BXB4,blue
Q9BXI3,yellow
Q9BXJ8,green
Q9BXJ9,grey
Q9BXK5,turquoise
Q9BXS5,black
Q9BXW6,grey
Q9BXW7,turquoise
Q9BY44,magenta
Q9BYD1,pink
Q9BYD2,black
Q9BYD3,grey
Q9BYD6,grey
Q9BYT8,grey
Q9BYV2,yellow
Q9BYV7,grey
Q9BZE1,green
Q9BZE9,brown
Q9BZL1,brown
Q9BZQ8,brown
Q9BZV1,grey
Q9C0C9,blue
Q9C0E8,grey
Q9GZP4,turquoise
Q9GZT3,pink
Q9GZT8,grey
Q9GZT9,turquoise
Q9GZV1,blue
Q9GZZ1,grey
Q9H061,green
Q9H074,grey
Q9H078,green
Q9H0E2,black
Q9H0N5,turquoise
Q9H0P0,brown
Q9H0R4,grey
Q9H0U4,black
Q9H0W9,grey
Q9H1E3,grey
Q9H1E5,grey
Q9H1R3,brown
Q9H223,green
Q9H299,turquoise
Q9H2G2,blue
Q9H2H8,grey
Q9H2I8,black
Q9H2S6,pink
Q9H2U2,turquoise
Q9H2W6,green
Q9H330,grey
Q9H3H3,black
Q9H3K2,green
Q9H3K6,grey
Q9H3N1,grey
Q9H444,brown
Q9H477,grey
Q9H479,turquoise
Q9H496,grey
Q9H4A4,turquoise
Q9H4G4,blue
Q9H4M9,grey
Q9H6F2,brown
Q9H6K4,pink
Q9H773,turquoise
Q9H7C9,grey
Q9H7Z7,pink
Q9H832,grey
Q9H845,turquoise
Q9H8H3,brown
Q9H8M1,pink
Q9H8S9,yellow
Q9H8Y8,grey
Q9H910,turquoise
Q9H987,yellow
Q9H993,grey
Q9H9A6,grey
Q9H9B4,turquoise
Q9H9P8,turquoise
Q9H9Q2,brown
Q9HA64,grey
Q9HA65,grey
Q9HA77,grey
Q9HAV7,turquoise
Q9HB71,blue
Q9HBH5,grey
Q9HBI1,grey
Q9HBL0,green
Q9HBL7,green
Q9HC38,grey
Q9HCC0,turquoise
Q9HCP6,grey
Q9HCU5,grey
Q9HD33,grey
Q9HDC5,red
Q9HDC9,blue
Q9NNW7,grey
Q9NP72,blue
Q9NP74,grey
Q9NP77,grey
Q9NP79,grey
Q9NP81,turquoise
Q9NP97,grey
Q9NP98,yellow
Q9NPC6,yellow
Q9NPF4,yellow
Q9NPJ3,turquoise
Q9NQ50,turquoise
Q9NQ88,turquoise
Q9NQC3,brown
Q9NQE9,grey
Q9NQP4,brown
Q9NQR4,grey
Q9NQW7,black
Q9NQX3,grey
Q9NR12,yellow
Q9NR19,turquoise
Q9NR28,turquoise
Q9NR31,brown
Q9NR46,yellow
Q9NR50,magenta
Q9NR56,grey
Q9NRG7,turquoise
Q9NRN7,grey
Q9NRP0,yellow
Q9NRP2,green
Q9NRV9,turquoise
Q9NRX4,brown
Q9NS69,green
Q9NS86,yellow
Q9NSD9,blue
Q9NSE4,turquoise
Q9NTG7,turquoise
Q9NTJ4,black
Q9NTK5,brown
Q9NTM9,brown
Q9NUB1,green
Q9NUJ1,turquoise
Q9NUU7,grey
Q9NVA2,grey
Q9NVD7,grey
Q9NVE7,brown
Q9NVH1,green
Q9NVH6,green
Q9NVI7,green
Q9NVJ2,black
Q9NVS2,pink
Q9NVS9,turquoise
Q9NWU1,turquoise
Q9NWU5,black
Q9NWV4,grey
Q9NWV8,brown
Q9NX14,green
Q9NX40,turquoise
Q9NX47,black
Q9NX63,green
Q9NXA8,turquoise
Q9NXR7,grey
Q9NY33,blue
Q9NY65,yellow
Q9NYL2,brown
Q9NYU2,grey
Q9NZ01,magenta
Q9NZ08,black
Q9NZ45,turquoise
Q9NZA1,yellow
Q9NZB2,blue
Q9NZD2,pink
Q9NZJ6,turquoise
Q9NZL4,grey
Q9NZL9,turquoise
Q9NZM1,black
Q9NZN4,turquoise
Q9NZQ9,yellow
Q9NZU5,blue
Q9NZZ3,yellow
Q9P003,blue
Q9P032,turquoise
Q9P0I2,black
Q9P0J0,green
Q9P0J1,turquoise
Q9P0J6,black
Q9P0L0,red
Q9P0P0,yellow
Q9P0S9,green
Q9P2J5,blue
Q9P2R7,turquoise
Q9P2T1,brown
Q9P2X0,grey
Q9P2X3,brown
Q9UBB4,turquoise
Q9UBC2,grey
Q9UBE0,turquoise
Q9UBF6,yellow
Q9UBF9,red
Q9UBI6,blue
Q9UBQ0,green
Q9UBQ5,grey
Q9UBQ7,grey
Q9UBR2,turquoise
Q9UBT2,turquoise
Q9UBW8,brown
Q9UBY9,blue
Q9UDT6,blue
Q9UDW1,black
Q9UDY4,grey
Q9UFN0,brown
Q9UGI8,yellow
Q9UGL1,pink
Q9UGM6,turquoise
Q9UH92,grey
Q9UHD8,grey
Q9UHD9,grey
Q9UHG3,brown
Q9UHL4,turquoise
Q9UHP9,blue
Q9UHQ4,blue
Q9UHQ9,turquoise
Q9UHV9,grey
Q9UHX1,grey
Q9UHY7,brown
Q9UI09,green
Q9UI10,grey
Q9UI12,yellow
Q9UI30,brown
Q9UIA9,grey
Q9UIC8,grey
Q9UII2,turquoise
Q9UIJ7,turquoise
Q9UJ70,turquoise
Q9UJS0,green
Q9UJU6,red
Q9UJW0,grey
Q9UJY1,yellow
Q9UJZ1,green
Q9UK41,grey
Q9UK76,blue
Q9UKG1,turquoise
Q9UKS6,grey
Q9UKU7,turquoise
Q9UKV8,green
Q9UKX2,yellow
Q9UKX3,yellow
Q9UKY7,grey
Q9UL25,grey
Q9UL46,blue
Q9ULA0,grey
Q9ULC4,blue
Q9ULP9,grey
Q9UM00,black
Q9UM22,turquoise
Q9UM54,magenta
Q9UMS0,turquoise
Q9UMS6,yellow
Q9UMX0,grey
Q9UMY4,yellow
Q9UN36,yellow
Q9UN37,turquoise
Q9UN86,green
Q9UNE7,brown
Q9UNF0,grey
Q9UNH7,grey
Q9UNM6,blue
Q9UNS2,brown
Q9UNZ2,brown
Q9UPN7,green
Q9UPQ0,grey
Q9UPU5,brown
Q9UPY8,blue
Q9UQ80,red
Q9UQM7,magenta
Q9UQN3,brown
Q9Y224,red
Q9Y230,magenta
Q9Y235,magenta
Q9Y237,brown
Q9Y262,magenta
Q9Y263,brown
Q9Y266,blue
Q9Y276,grey
Q9Y277,green
Q9Y281,grey
Q9Y285,blue
Q9Y2B0,grey
Q9Y2H6,yellow
Q9Y2J8,blue
Q9Y2Q3,turquoise
Q9Y2Q5,grey
Q9Y2Q9,turquoise
Q9Y2R0,turquoise
Q9Y2S6,grey
Q9Y2Z0,turquoise
Q9Y2Z9,turquoise
Q9Y305,turquoise
Q9Y316,blue
Q9Y320,yellow
Q9Y371,brown
Q9Y376,grey
Q9Y383,turquoise
Q9Y394,blue
Q9Y3A3,blue
Q9Y3A5,brown
Q9Y3B7,green
Q9Y3C6,brown
Q9Y3D2,turquoise
Q9Y3D6,pink
Q9Y3E5,black
Q9Y3F4,brown
Q9Y3I0,red
Q9Y3U8,red
Q9Y3Z3,grey
Q9Y450,black
Q9Y490,grey
Q9Y4E8,brown
Q9Y4G6,grey
Q9Y4J8,grey
Q9Y4L1,blue
Q9Y4W6,turquoise
Q9Y4X5,grey
Q9Y508,turquoise
Q9Y512,green
Q9Y570,grey
Q9Y5J7,turquoise
Q9Y5J9,green
Q9Y5K5,grey
Q9Y5L4,turquoise
Q9Y5M8,blue
Q9Y5P6,brown
Q9Y5U8,pink
Q9Y5X3,brown
Q9Y5Z4,grey
Q9Y5Z7,turquoise
Q9Y613,magenta
Q9Y623,yellow
Q9Y676,pink
Q9Y678,grey
Q9Y696,blue
Q9Y697,turquoise
Q9Y6A9,grey
Q9Y6B6,brown
Q9Y6C9,green
Q9Y6E2,grey
Q9Y6G9,blue
Q9Y6H1,green
Q9Y6M9,green
Q9Y6N1,turquoise
Q9Y6N5,grey
Q9Y6P5,grey
Q9Y6Y8,blue
