pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,1.0524527423305608e-4,0.003788829872390019,4.240133779264214,9,23,GO:BP,6.580645161290323,yellow,Actin Filament Depolymerization,ACTN2/CAPZA1/CAPZA2/CAPZB/LMOD2/LMOD3/SVIL/TMOD1/TMOD4,9,0.003788829872390019,GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION
GOBP_REGULATION_OF_MUSCLE_CONTRACTION,3.6048585491180315e-4,0.0113553044297218,2.7089743589743587,14,56,GO:BP,3.4548802946593002,yellow,Regulation Of Muscle Contraction,ACTN3/CACNB3/CALM1/JPH2/MYBPH/MYH7/MYL3/PRKG1/TNNC1/TNNC2/TNNI1/TNNT1/TNNT3/TPM1,14,0.0113553044297218,GOBP_REGULATION_OF_MUSCLE_CONTRACTION
GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,6.568594437397048e-4,0.018385118419253162,2.979871794871795,11,40,GO:BP,3.8941154422788604,yellow,Negative Regulation Of Supramolecular Fiber Organization,CAPZA1/CAPZA2/CAPZB/HSPG2/LMOD2/LMOD3/PFDN1/SVIL/TMOD1/TMOD4/TRIM54,11,0.018385118419253162,GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION
GOBP_CELLULAR_RESPONSE_TO_ACID_CHEMICAL,6.748505768971895e-4,0.018385118419253162,4.2139601139601135,7,18,GO:BP,6.455029013539652,yellow,Cellular Response To Acid Chemical,COL1A1/COL1A2/COL3A1/COL4A1/COL6A1/GCLM/PLEC,7,0.018385118419253162,GOBP_CELLULAR_RESPONSE_TO_ACID_CHEMICAL
GOBP_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION,6.748505768971895e-4,0.018385118419253162,4.2139601139601135,7,18,GO:BP,6.455029013539652,yellow,Regulation Of Muscle Cell Differentiation,ACTN3/LAMA2/LAMB2/LAMC1/LMOD3/NID1/SMYD1,7,0.018385118419253162,GOBP_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION
GOBP_CELL_SUBSTRATE_ADHESION,7.708207794495126e-4,0.020447035412766018,2.528376068376068,14,60,GO:BP,3.1477300024021138,yellow,Cell Substrate Adhesion,ACTN1/ACTN2/ACTN3/ACTN4/BCAM/COL1A1/COL3A1/ITGA7/LAMB2/LAMC1/NID1/NID2/RNF7/VWF,14,0.020447035412766018,GOBP_CELL_SUBSTRATE_ADHESION
REACTOME_DEVELOPMENTAL_CELL_LINEAGES,9.16035217479923e-4,0.021788551958629596,3.611965811965812,8,24,Reactome,5.0855614973262036,yellow,Developmental Cell Lineages,COL1A1/COL1A2/COL3A1/KRT18/LAMA2/LAMB2/LAMC1/VIM,8,0.021788551958629596,REACTOME_DEVELOPMENTAL_CELL_LINEAGES
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,9.16035217479923e-4,0.023675987159481087,3.611965811965812,8,24,GO:BP,5.0855614973262036,yellow,Negative Regulation Of Protein Polymerization,CAPZA1/CAPZA2/CAPZB/LMOD2/LMOD3/SVIL/TMOD1/TMOD4,8,0.023675987159481087,GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYMERIZATION
GOBP_REGULATION_OF_ACTIN_FILAMENT_LENGTH,0.0010650585013753707,0.026184852911862774,3.00997150997151,10,36,GO:BP,3.9334719334719335,yellow,Regulation Of Actin Filament Length,ACTN2/CAPZA1/CAPZA2/CAPZB/LMOD2/LMOD3/NEB/SVIL/TMOD1/TMOD4,10,0.026184852911862774,GOBP_REGULATION_OF_ACTIN_FILAMENT_LENGTH
GOBP_CARDIAC_CELL_DEVELOPMENT,0.0013999520613743712,0.03226241341333377,3.7925641025641026,7,20,GO:BP,5.4562193126022915,yellow,Cardiac Cell Development,ACTN2/LMNA/NEB/PDLIM5/PLEC/TCAP/TTN,7,0.03226241341333377,GOBP_CARDIAC_CELL_DEVELOPMENT
