row,module,fpr,tpr
Pre vs Post (Young),red,0.19999999999999996,0.2
Pre vs Post (Young),red,0.1333333333333333,0.2
Pre vs Post (Young),red,0.06666666666666665,0.2
Pre vs Post (Young),red,0.06666666666666665,0.13333333333333333
Pre vs Post (Young),red,0.06666666666666665,0.06666666666666667
Pre vs Post (Young),red,0,0.06666666666666667
Pre vs Post (Young),red,0,0
Pre vs Post (Young),black,1,1
Pre vs Post (Young),black,1,0.9333333333333333
Pre vs Post (Young),black,1,0.8666666666666667
Pre vs Post (Young),black,1,0.8
Pre vs Post (Young),black,1,0.7333333333333333
Pre vs Post (Young),black,0.9333333333333333,0.7333333333333333
Pre vs Post (Young),black,0.8666666666666667,0.7333333333333333
Pre vs Post (Young),black,0.8,0.7333333333333333
Pre vs Post (Young),black,0.8,0.6666666666666666
Pre vs Post (Young),black,0.7333333333333334,0.6666666666666666
Pre vs Post (Young),black,0.7333333333333334,0.6
Pre vs Post (Young),black,0.6666666666666667,0.6
Pre vs Post (Young),black,0.6,0.6
Pre vs Post (Young),black,0.5333333333333333,0.6
Pre vs Post (Young),black,0.4666666666666667,0.6
Pre vs Post (Young),black,0.4666666666666667,0.5333333333333333
Pre vs Post (Young),black,0.4,0.5333333333333333
Pre vs Post (Young),black,0.33333333333333337,0.5333333333333333
Pre vs Post (Young),black,0.2666666666666667,0.5333333333333333
Pre vs Post (Young),black,0.2666666666666667,0.4666666666666667
Pre vs Post (Young),black,0.2666666666666667,0.4
Pre vs Post (Young),black,0.2666666666666667,0.3333333333333333
Pre vs Post (Young),black,0.19999999999999996,0.3333333333333333
Pre vs Post (Young),black,0.1333333333333333,0.3333333333333333
Pre vs Post (Young),black,0.06666666666666665,0.3333333333333333
Pre vs Post (Young),black,0.06666666666666665,0.26666666666666666
Pre vs Post (Young),black,0,0.26666666666666666
Pre vs Post (Young),black,0,0.2
Pre vs Post (Young),black,0,0.13333333333333333
Pre vs Post (Young),black,0,0.06666666666666667
Pre vs Post (Young),black,0,0
Pre vs Post (Young),pink,1,1
Pre vs Post (Young),pink,0.9333333333333333,1
Pre vs Post (Young),pink,0.8666666666666667,1
Pre vs Post (Young),pink,0.8666666666666667,0.9333333333333333
Pre vs Post (Young),pink,0.8,0.9333333333333333
Pre vs Post (Young),pink,0.7333333333333334,0.9333333333333333
Pre vs Post (Young),pink,0.6666666666666667,0.9333333333333333
Pre vs Post (Young),pink,0.6666666666666667,0.8666666666666667
Pre vs Post (Young),pink,0.6,0.8666666666666667
Pre vs Post (Young),pink,0.5333333333333333,0.8666666666666667
Pre vs Post (Young),pink,0.5333333333333333,0.8
Pre vs Post (Young),pink,0.5333333333333333,0.7333333333333333
Pre vs Post (Young),pink,0.5333333333333333,0.6666666666666666
Pre vs Post (Young),pink,0.4666666666666667,0.6666666666666666
Pre vs Post (Young),pink,0.4666666666666667,0.6
Pre vs Post (Young),pink,0.4,0.6
Pre vs Post (Young),pink,0.4,0.5333333333333333
Pre vs Post (Young),pink,0.4,0.4666666666666667
Pre vs Post (Young),pink,0.33333333333333337,0.4666666666666667
Pre vs Post (Young),pink,0.2666666666666667,0.4666666666666667
Pre vs Post (Young),pink,0.2666666666666667,0.4
Pre vs Post (Young),pink,0.19999999999999996,0.4
Pre vs Post (Young),pink,0.19999999999999996,0.3333333333333333
Pre vs Post (Young),pink,0.19999999999999996,0.26666666666666666
Pre vs Post (Young),pink,0.19999999999999996,0.2
Pre vs Post (Young),pink,0.19999999999999996,0.13333333333333333
Pre vs Post (Young),pink,0.1333333333333333,0.13333333333333333
Pre vs Post (Young),pink,0.1333333333333333,0.06666666666666667
Pre vs Post (Young),pink,0.06666666666666665,0.06666666666666667
Pre vs Post (Young),pink,0,0.06666666666666667
Pre vs Post (Young),pink,0,0
Pre vs Post (Old),turquoise,1,1
Pre vs Post (Old),turquoise,0.9333333333333333,1
Pre vs Post (Old),turquoise,0.8666666666666667,1
Pre vs Post (Old),turquoise,0.8,1
Pre vs Post (Old),turquoise,0.8,0.9333333333333333
Pre vs Post (Old),turquoise,0.7333333333333334,0.9333333333333333
Pre vs Post (Old),turquoise,0.7333333333333334,0.8666666666666667
Pre vs Post (Old),turquoise,0.6666666666666667,0.8666666666666667
Pre vs Post (Old),turquoise,0.6666666666666667,0.8
