gene,pathway,database,cluster,theme
APEX1,Telomere Organization,GO Slim,C2,Other
CALR,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
MAP4,Microtubule-Based Movement,GO Slim,C2,Cytoskeletal & Cell Division
CANX,Mhc Class Ii Antigen Presentation,Reactome,C2,Other
PSMB4,M Phase,Reactome,C2,Other
PSMB5,M Phase,Reactome,C2,Other
MAPK1,M Phase,Reactome,C2,Other
RBL1,Regulation Of Cell Cycle G1 S Phase Transition,GO:BP,C2,Cytoskeletal & Cell Division
TPP2,Class I Mhc Mediated Antigen Processing Presentation,Reactome,C2,Other
EEF1D,Cytoplasmic Translation,GO Slim,C2,Other
MARCKS,Mitotic Spindle,Hallmark,C2,Cytoskeletal & Cell Division
PPP2R1A,Cilium Assembly,Reactome,C2,Other
CLIP1,M Phase,Reactome,C2,Other
SERPINB1,Neutrophil Degranulation,Reactome,C2,Other
AKT2,Cytoplasmic Translation,GO Slim,C2,Other
YWHAB,Sars Cov 1 Host Interactions,Reactome,C2,Other
STIP1,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,C2,Proteostasis & Stress Response
S100A11,Neutrophil Degranulation,Reactome,C2,Other
GBP2,Interferon Signaling,Reactome,C2,Immune & Complement
KIF5B,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
HSPA4,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
PFN2,Rho Gtpase Effectors,Reactome,C2,Other
THBS4,Response To Topologically Incorrect Protein,GO:BP,C2,Other
COPB2,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
PSMC2,M Phase,Reactome,C2,Other
ARL3,Cilium Assembly,Reactome,C2,Other
ATP6V1E1,Vesicle Organization,GO:BP,C2,Intracellular Transport & Signaling
RPL3,Cytoplasmic Translation,GO Slim,C2,Other
DDOST,Asparagine N Linked Glycosylation,Reactome,C2,Other
ANP32A,Regulation Of Mrna Stability By Proteins That Bind Au Rich Elements,Reactome,C2,Other
CCT6A,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
ARL1,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
EIF2S3,Cytoplasmic Translation,GO Slim,C2,Other
RPS27,M Phase,Reactome,C2,Other
PAFAH1B1,Cilium Assembly,Reactome,C2,Other
PSMC4,M Phase,Reactome,C2,Other
USP5,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
BAG6,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
RPS9,Cytoplasmic Translation,GO Slim,C2,Other
RPS10,Cytoplasmic Translation,GO Slim,C2,Other
GYG1,Neutrophil Degranulation,Reactome,C2,Other
EIF1AX,Ribosome Biogenesis,GO Slim,C2,Other
ARCN1,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
PSMD8,M Phase,Reactome,C2,Other
CCT5,Cilium Assembly,Reactome,C2,Other
PXN,Mitotic Spindle,Hallmark,C2,Cytoskeletal & Cell Division
CCT3,Cilium Assembly,Reactome,C2,Other
SARS1,Cytoplasmic Translation,GO Slim,C2,Other
GDI2,Cilium Organization,GO Slim,C2,Other
SERPINH1,mTORC1 Signaling,Hallmark,C2,Proteostasis & Stress Response
CSRP3,Protein Localization To Plasma Membrane,GO Slim,C2,Other
DNM2,Mhc Class Ii Antigen Presentation,Reactome,C2,Other
CCT8,Cilium Assembly,Reactome,C2,Other
CCT4,Cilium Assembly,Reactome,C2,Other
RAB5C,Neutrophil Degranulation,Reactome,C2,Other
RAB7A,Mhc Class Ii Antigen Presentation,Reactome,C2,Other
BCAP31,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
KPNA1,Apoptosis,Reactome,C2,Proteostasis & Stress Response
ARHGDIB,Rho Gtpase Cycle,Reactome,C2,Other
COPA,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
SEC24C,Mhc Class Ii Antigen Presentation,Reactome,C2,Other
RARS1,Translation,Reactome,C2,Other
PRKAG1,Neurotransmitter Receptors And Postsynaptic Signal Transmission,Reactome,C2,Intracellular Transport & Signaling
PRKAA2,Neurotransmitter Receptors And Postsynaptic Signal Transmission,Reactome,C2,Intracellular Transport & Signaling
HSPA2,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,C2,Proteostasis & Stress Response
NAPA,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
PSMD4,Variant Mutation Inactivated Ubqln2 To 26s Proteasome Mediated Protein Degradation,KEGG,C2,Proteostasis & Stress Response
CSE1L,Protein Localization To Nucleus,GO:BP,C2,Other
VCP,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
TPD52,Golgi Associated Vesicle Biogenesis,Reactome,C2,Intracellular Transport & Signaling
EIF3B,Cytoplasmic Translation,GO Slim,C2,Other
ARPP19,M Phase,Reactome,C2,Other
ARPC4,Rho Gtpase Effectors,Reactome,C2,Other
RPS20,Cytoplasmic Translation,GO Slim,C2,Other
S100A10,Protein Localization To Plasma Membrane,GO Slim,C2,Other
RAB2A,M Phase,Reactome,C2,Other
RAB10,Protein Localization To Plasma Membrane,GO Slim,C2,Other
ACTR2,Microtubule-Based Movement,GO Slim,C2,Cytoskeletal & Cell Division
ACTR1A,Cilium Assembly,Reactome,C2,Other
COPS2,Clathrin Mediated Endocytosis,Reactome,C2,Other
RPL26,Cytoplasmic Translation,GO Slim,C2,Other
RPL27,Cytoplasmic Translation,GO Slim,C2,Other
B2M,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
UFM1,mTORC1 Signaling,Hallmark,C2,Proteostasis & Stress Response
RPS7,Cytoplasmic Translation,GO Slim,C2,Other
PSMC1,M Phase,Reactome,C2,Other
PSMC5,M Phase,Reactome,C2,Other
RPS8,Cytoplasmic Translation,GO Slim,C2,Other
RPS15A,Cytoplasmic Translation,GO Slim,C2,Other
RPS16,Cytoplasmic Translation,GO Slim,C2,Other
YWHAE,Cilium Assembly,Reactome,C2,Other
RPS23,Cytoplasmic Translation,GO Slim,C2,Other
RPS13,Cytoplasmic Translation,GO Slim,C2,Other
RPS11,Cytoplasmic Translation,GO Slim,C2,Other
TMSB4X,Regulation Of Cell Cycle G1 S Phase Transition,GO:BP,C2,Cytoskeletal & Cell Division
PSMC6,M Phase,Reactome,C2,Other
RPL7A,Cytoplasmic Translation,GO Slim,C2,Other
ETF1,Cytoplasmic Translation,GO Slim,C2,Other
RPS4X,Cytoplasmic Translation,GO Slim,C2,Other
RPS6,Cytoplasmic Translation,GO Slim,C2,Other
RAN,M Phase,Reactome,C2,Other
RPS24,Cytoplasmic Translation,GO Slim,C2,Other
RPS25,Cytoplasmic Translation,GO Slim,C2,Other
RPS26,Cytoplasmic Translation,GO Slim,C2,Other
RPL11,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
PPIA,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
RPS27A,M Phase,Reactome,C2,Other
AP2B1,Mhc Class Ii Antigen Presentation,Reactome,C2,Other
YWHAZ,Unfolded Protein Response,Hallmark,C2,Proteostasis & Stress Response
DYNLL1,Cilium Assembly,Reactome,C2,Other
DYNLT1,Reference Rab7 Regulated Microtubule Minus End Directed Transport,KEGG,C2,Cytoskeletal & Cell Division
YBX1,Cytoplasmic Translation,GO Slim,C2,Other
CSNK2B,M Phase,Reactome,C2,Other
EEF1A1,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
TUBA1B,Cilium Assembly,Reactome,C2,Other
TUBA4A,Cilium Assembly,Reactome,C2,Other
TUBB4B,Cilium Assembly,Reactome,C2,Other
CCT2,Cilium Assembly,Reactome,C2,Other
PRKDC,Telomere Organization,GO Slim,C2,Other
MRPS15,Translation,Reactome,C2,Other
ARF5,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
CLTC,Mhc Class Ii Antigen Presentation,Reactome,C2,Other
HNRNPU,Microtubule-Based Movement,GO Slim,C2,Cytoskeletal & Cell Division
SPTBN1,Mitotic Spindle,Hallmark,C2,Cytoskeletal & Cell Division
COL7A1,Asparagine N Linked Glycosylation,Reactome,C2,Other
AKAP12,Rho Gtpase Cycle,Reactome,C2,Other
GBE1,mTORC1 Signaling,Hallmark,C2,Proteostasis & Stress Response
EIF4G1,Cytoplasmic Translation,GO Slim,C2,Other
EEF1A2,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
PSME1,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
CKAP4,Neutrophil Degranulation,Reactome,C2,Other
KLC1,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
ARHGAP1,Rho Gtpase Cycle,Reactome,C2,Other
DHX9,Cytoplasmic Translation,GO Slim,C2,Other
PPID,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
HSPA14,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
AP1B1,Mhc Class Ii Antigen Presentation,Reactome,C2,Other
ANK3,Protein Localization To Plasma Membrane,GO Slim,C2,Other
HSPB3,Response To Topologically Incorrect Protein,GO:BP,C2,Other
ACACA,mTORC1 Signaling,Hallmark,C2,Proteostasis & Stress Response
GPS1,Clathrin Mediated Endocytosis,Reactome,C2,Other
PRKAA1,Neurotransmitter Receptors And Postsynaptic Signal Transmission,Reactome,C2,Intracellular Transport & Signaling
AIMP2,Translation,Reactome,C2,Other
PAK2,Apoptosis,Reactome,C2,Proteostasis & Stress Response
TRIM28,Positive Regulation Of Protein Localization To Nucleus,GO:BP,C2,Other
DYNC1I2,Cilium Assembly,Reactome,C2,Other
PDAP1,mTORC1 Signaling,Hallmark,C2,Proteostasis & Stress Response
PICALM,Protein Localization To Plasma Membrane,GO Slim,C2,Other
CAMK2B,Protein Localization To Plasma Membrane,GO Slim,C2,Other
CAMK2D,Protein Localization To Plasma Membrane,GO Slim,C2,Other
DCTN2,Cilium Assembly,Reactome,C2,Other
CUL2,Neddylation,Reactome,C2,Other
CUL4A,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
FHL1,Regulation Of Cell Cycle G1 S Phase Transition,GO:BP,C2,Cytoskeletal & Cell Division
SPTAN1,Mitotic Spindle,Hallmark,C2,Cytoskeletal & Cell Division
TUBB2A,Cilium Assembly,Reactome,C2,Other
SCARB2,Protein Localization To Plasma Membrane,GO Slim,C2,Other
IL18,Signaling By Interleukins,Reactome,C2,Intracellular Transport & Signaling
EIF3A,Cytoplasmic Translation,GO Slim,C2,Other
MLEC,Asparagine N Linked Glycosylation,Reactome,C2,Other
DCTN1,Cilium Assembly,Reactome,C2,Other
DYNC1H1,Cilium Assembly,Reactome,C2,Other
EIF2B1,Cytoplasmic Translation,GO Slim,C2,Other
GANAB,Asparagine N Linked Glycosylation,Reactome,C2,Other
KPNB1,M Phase,Reactome,C2,Other
PSME4,Proteasome Assembly,Reactome,C2,Proteostasis & Stress Response
SLMAP,Protein Localization To Plasma Membrane,GO Slim,C2,Other
PSMD6,M Phase,Reactome,C2,Other
SEPTIN2,Cilium Assembly,Reactome,C2,Other
EEA1,Vesicle Organization,GO:BP,C2,Intracellular Transport & Signaling
PEA15,Mapk Family Signaling Cascades,Reactome,C2,Intracellular Transport & Signaling
PLEC,Apoptosis,Reactome,C2,Proteostasis & Stress Response
RABEP1,Golgi Vesicle Transport,GO:BP,C2,Intracellular Transport & Signaling
UBE3C,Class I Mhc Mediated Antigen Processing Presentation,Reactome,C2,Other
SEC23A,Mhc Class Ii Antigen Presentation,Reactome,C2,Other
MAPRE1,Cilium Assembly,Reactome,C2,Other
RAB11B,Rab Regulation Of Trafficking,Reactome,C2,Other
HSPB2,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
SEPTIN7,Cilium Organization,GO Slim,C2,Other
DDB1,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
DPYSL2,Recycling Pathway Of L1,Reactome,C2,Other
KLHL40,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
TKFC,Sars Cov 1 Host Interactions,Reactome,C2,Other
RABL3,Regulation Of Protein Stability,GO:BP,C2,Proteostasis & Stress Response
DCAF8,Neddylation,Reactome,C2,Other
ECPAS,Response To Endoplasmic Reticulum Stress,GO:BP,C2,Other
RNF123,Ub Specific Processing Proteases,Reactome,C2,Other
LAMTOR1,Neutrophil Degranulation,Reactome,C2,Other
TRIM72,Proteasome Mediated Ubiquitin Dependent Protein Catabolic Process,GO:BP,C2,Proteostasis & Stress Response
COPS6,Clathrin Mediated Endocytosis,Reactome,C2,Other
RRM2B,DNA Biosynthetic Process,GO:BP,C2,Other
MYH14,Rho Gtpase Effectors,Reactome,C2,Other
COMMD6,Neddylation,Reactome,C2,Other
KTN1,Microtubule-Based Movement,GO Slim,C2,Cytoskeletal & Cell Division
CAND1,Neutrophil Degranulation,Reactome,C2,Other
COMMD7,Neddylation,Reactome,C2,Other
UNC45B,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
TXNDC5,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
ABCF1,Abc Family Proteins Mediated Transport,Reactome,C2,Intracellular Transport & Signaling
RDH11,mTORC1 Signaling,Hallmark,C2,Proteostasis & Stress Response
NEK9,M Phase,Reactome,C2,Other
DNAJA4,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,Reactome,C2,Proteostasis & Stress Response
SYNE2,Microtubule-Based Movement,GO Slim,C2,Cytoskeletal & Cell Division
ARPC1A,Rho Gtpase Effectors,Reactome,C2,Other
UFD1,Ub Specific Processing Proteases,Reactome,C2,Other
COPS5,mTORC1 Signaling,Hallmark,C2,Proteostasis & Stress Response
KHSRP,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
TNPO1,Cilium Assembly,Reactome,C2,Other
USP9X,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
ERGIC1,Golgi Vesicle Transport,GO:BP,C2,Intracellular Transport & Signaling
FERMT2,Positive Regulation Of Protein Localization To Nucleus,GO:BP,C2,Other
AP2M1,Mhc Class Ii Antigen Presentation,Reactome,C2,Other
MSI2,Rho Gtpase Cycle,Reactome,C2,Other
DDRGK1,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
USP47,Ub Specific Processing Proteases,Reactome,C2,Other
GFM1,Translation,Reactome,C2,Other
TBCB,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
PFDN5,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
VAT1,Neutrophil Degranulation,Reactome,C2,Other
S100A13,Establishment Of Organelle Localization,GO:BP,C2,Other
EIF3C,Cytoplasmic Translation,GO Slim,C2,Other
TSG101,Autophagy,Reactome,C2,Other
CCT7,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
FYCO1,Microtubule-Based Movement,GO Slim,C2,Cytoskeletal & Cell Division
VPS25,Vesicle Organization,GO:BP,C2,Intracellular Transport & Signaling
ERP44,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
ESYT1,Rho Gtpase Cycle,Reactome,C2,Other
DCTN5,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
TUBB6,Cilium Assembly,Reactome,C2,Other
OSBPL11,Rho Gtpase Cycle,Reactome,C2,Other
AP1M1,Mhc Class Ii Antigen Presentation,Reactome,C2,Other
UBE2O,Class I Mhc Mediated Antigen Processing Presentation,Reactome,C2,Other
TOLLIP,Neutrophil Degranulation,Reactome,C2,Other
RAB1B,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
SLK,Rho Gtpase Cycle,Reactome,C2,Other
TMX1,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
CHMP4B,M Phase,Reactome,C2,Other
TOR1AIP2,Protein Localization To Nucleus,GO:BP,C2,Other
EHD1,Cilium Organization,GO Slim,C2,Other
UBE2Z,Class I Mhc Mediated Antigen Processing Presentation,Reactome,C2,Other
GORASP2,M Phase,Reactome,C2,Other
GRPEL1,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
CACYBP,mTORC1 Signaling,Hallmark,C2,Proteostasis & Stress Response
PREB,Unfolded Protein Response,Hallmark,C2,Proteostasis & Stress Response
RAB18,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
VTA1,Vesicle Organization,GO:BP,C2,Intracellular Transport & Signaling
RTN4,Regulation Of Protein Stability,GO:BP,C2,Proteostasis & Stress Response
SAR1A,Golgi Vesicle Transport,GO:BP,C2,Intracellular Transport & Signaling
OSTC,Asparagine N Linked Glycosylation,Reactome,C2,Other
FARSB,Translation,Reactome,C2,Other
ARL8B,Reference Arl8 Regulated Microtubule Plus End Directed Transport,KEGG,C2,Cytoskeletal & Cell Division
DPP3,Neddylation,Reactome,C2,Other
ERAP1,Antigen Presentation Folding Assembly And Peptide Loading Of Class I Mhc,Reactome,C2,Other
MAT2B,Ub Specific Processing Proteases,Reactome,C2,Other
CNIH4,Golgi Vesicle Transport,GO:BP,C2,Intracellular Transport & Signaling
EMC3,Rho Gtpase Cycle,Reactome,C2,Other
MRPL36,Translation,Reactome,C2,Other
LARS1,Translation,Reactome,C2,Other
GNG12,Neurotransmitter Receptors And Postsynaptic Signal Transmission,Reactome,C2,Intracellular Transport & Signaling
EIF3K,Cytoplasmic Translation,GO Slim,C2,Other
HSPB7,Response To Topologically Incorrect Protein,GO:BP,C2,Other
SEPTIN9,Cilium Organization,GO Slim,C2,Other
UBQLN2,Variant Mutation Inactivated Ubqln2 To 26s Proteasome Mediated Protein Degradation,KEGG,C2,Proteostasis & Stress Response
BCAP29,Golgi Vesicle Transport,GO:BP,C2,Intracellular Transport & Signaling
NAGK,Asparagine N Linked Glycosylation,Reactome,C2,Other
DBNL,Neutrophil Degranulation,Reactome,C2,Other
DCTN4,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
HSPB8,Hsf1 Dependent Transactivation,Reactome,C2,Other
VPS28,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
APPL1,Protein Localization To Plasma Membrane,GO Slim,C2,Other
PSME2,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
TBC1D24,Rab Regulation Of Trafficking,Reactome,C2,Other
TMCO1,Response To Endoplasmic Reticulum Stress,GO:BP,C2,Other
STUB1,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
PSMD13,M Phase,Reactome,C2,Other
MAPRE3,Spindle Organization,GO:BP,C2,Cytoskeletal & Cell Division
EIF3L,Cytoplasmic Translation,GO Slim,C2,Other
NUDC,M Phase,Reactome,C2,Other
FARSA,Translation,Reactome,C2,Other
PADI2,Neutrophil Degranulation,Reactome,C2,Other
SUGT1,Spindle Organization,GO:BP,C2,Cytoskeletal & Cell Division
LUC7L2,Ribonucleoprotein Complex Biogenesis,GO:BP,C2,Other
SBDS,Ribosome Biogenesis,GO Slim,C2,Other
PTRH2,Ub Specific Processing Proteases,Reactome,C2,Other
STRAP,Ribonucleoprotein Complex Biogenesis,GO:BP,C2,Other
SAMHD1,Interferon Signaling,Reactome,C2,Immune & Complement
TLN1,Unfolded Protein Response Upr,Reactome,C2,Proteostasis & Stress Response
HYOU1,Protein Folding,GO Slim,C2,Proteostasis & Stress Response
ARIH1,Interferon Signaling,Reactome,C2,Immune & Complement
UCHL5,Regulation Of Protein Catabolic Process,GO:BP,C2,Other
SRPRB,Unfolded Protein Response,Hallmark,C2,Proteostasis & Stress Response
COPG1,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
DYNC1LI1,Intra Golgi And Retrograde Golgi To Er Traffic,Reactome,C2,Intracellular Transport & Signaling
TARS3,Amino Acid Metabolic Process,GO Slim,C3,Metabolic & Redox Regulation
NUDT19,Protein Localization,Reactome,C3,Other
NDUFS8,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
PDHX,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
DNM1L,Mitochondrion Organization,GO Slim,C3,Mitochondrial & Energy Metabolism
NDUFA4,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
CES2,Fatty Acid Metabolic Process,GO:BP,C3,Mitochondrial & Energy Metabolism
SDHD,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
COX7A2L,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
NDUFAB1,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
OPLAH,Sulfur Compound Metabolic Process,GO:BP,C3,Metabolic & Redox Regulation
MGST3,OXPHOS,Hallmark,C3,Other
UQCRQ,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
UQCR11,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
NDUFA1,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
BCAT2,Amino Acid Metabolic Process,GO Slim,C3,Metabolic & Redox Regulation
NDUFS4,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
AKR7A2,Ketone Metabolic Process,GO Slim,C3,Metabolic & Redox Regulation
TIMM44,Mitochondrial Protein Import,Reactome,C3,Mitochondrial & Energy Metabolism
NDUFB5,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
NDUFB3,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
NDUFA2,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
SGTA,Protein Localization,Reactome,C3,Other
SLC25A20,OXPHOS,Hallmark,C3,Other
IDH3B,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
NDUFS5,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
TIMM8A,Mitochondrion Organization,GO Slim,C3,Mitochondrial & Energy Metabolism
OPA1,OXPHOS,Hallmark,C3,Other
PFKFB2,Generation Of Precursor Metabolites And Energy,GO Slim,C3,Metabolic & Redox Regulation
NOL3,Mitochondrion Organization,GO Slim,C3,Mitochondrial & Energy Metabolism
CLUH,Mitochondrion Organization,GO Slim,C3,Mitochondrial & Energy Metabolism
COQ9,Cellular Respiration,GO:BP,C3,Other
NDUFS7,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
NDUFS2,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
NIPSNAP2,Cellular Respiration,GO:BP,C3,Other
NDUFS6,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
CS,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
MTX2,OXPHOS,Hallmark,C3,Other
NDUFB1,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
PMPCB,Mitochondrial Protein Import,Reactome,C3,Mitochondrial & Energy Metabolism
NDUFS3,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
ECI2,Protein Localization,Reactome,C3,Other
LYPLA1,Fatty Acid Metabolic Process,GO:BP,C3,Mitochondrial & Energy Metabolism
SLC25A12,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
SCO1,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
ALDH1L1,Generation Of Precursor Metabolites And Energy,GO Slim,C3,Metabolic & Redox Regulation
ATP5PD,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
ATP5MG,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
TOMM70,OXPHOS,Hallmark,C3,Other
NDUFB6,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
NDUFA3,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
NDUFB4,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
NDUFB8,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
NDUFA7,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
LETM1,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
NDUFC2,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
NDUFA10,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
PGLS,Generation Of Precursor Metabolites And Energy,GO Slim,C3,Metabolic & Redox Regulation
MPC2,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
ETHE1,Sulfur Compound Metabolic Process,GO:BP,C3,Metabolic & Redox Regulation
CAVIN2,Adipogenesis,Hallmark,C3,Mitochondrial & Energy Metabolism
MLYCD,Protein Localization,Reactome,C3,Other
AIFM1,OXPHOS,Hallmark,C3,Other
NUDT3,Nucleotide Metabolic Process,GO:BP,C3,Metabolic & Redox Regulation
NDUFB10,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
TOMM40,Mitochondrion Organization,GO Slim,C3,Mitochondrial & Energy Metabolism
PEX11B,Protein Localization,Reactome,C3,Other
GLUD1,OXPHOS,Hallmark,C3,Other
MT-CO2,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
MT-CO3,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
GOT2,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
ASS1,Amino Acid Metabolic Process,GO Slim,C3,Metabolic & Redox Regulation
MT-ND1,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
MT-ND2,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
MT-ND3,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
MT-ND4,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
MT-ND5,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
MT-ATP8,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
SOD2,Cellular Respiration,GO:BP,C3,Other
SLC25A5,OXPHOS,Hallmark,C3,Other
PCCA,Amino Acid Metabolic Process,GO Slim,C3,Metabolic & Redox Regulation
PCCB,Mitochondrial Protein Degradation,Reactome,C3,Mitochondrial & Energy Metabolism
FABP3,Ketone Metabolic Process,GO Slim,C3,Metabolic & Redox Regulation
ATP5F1B,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
UQCRH,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
FH,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
PDHA1,Aerobic Respiration And Respiratory Electron Transport,Reactome,C3,Mitochondrial & Energy Metabolism
