pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
GOBP_IMPORT_INTO_THE_MITOCHONDRION,6.253811667959104e-5,0.002072096265983783,5.153658536585366,8,20,GO:BP,8.277777777777779,green,Import Into The Mitochondrion,MCU/MICU2/PNPT1/SAMM50/TIMM21/TOMM22/TOMM40/VDAC1,8,0.002072096265983783,GOBP_IMPORT_INTO_THE_MITOCHONDRION
REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY,9.400059236513766e-5,0.0024361820187964846,5.636814024390245,7,16,Reactome,9.610757254069355,green,Pink1 Prkn Mediated Mitophagy,MFN1/TOMM22/TOMM40/TOMM5/VDAC1/VDAC2/VDAC3,7,0.0024361820187964846,REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY
GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,2.2844050242351395e-4,0.007095933106530402,2.9909625435540073,13,56,GO:BP,3.8161096565532113,green,Protein Localization To Mitochondrion,MTCH2/MTX2/NDUFA13/PMPCB/RALA/SAMM50/TIMM21/TIMM8A/TIMM8B/TMEM126A/TOMM22/TOMM40/TOMM5,13,0.007095933106530402,GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION
HALLMARK_ADIPOGENESIS,0.0012009235866435634,0.02161662455958414,2.147357723577236,18,108,Hallmark,2.5465753424657533,green,Adipogenesis,BCKDHA/COX7B/COX8A/CYC1/G3BP2/GHITM/IMMT/MGST3/MTCH2/NDUFA5/NDUFAB1/NDUFB7/NDUFS3/SAMM50/SORBS1/UQCR11/UQCRC1/UQCRQ,18,0.02161662455958414,HALLMARK_ADIPOGENESIS
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.001804124990027882,0.04007734799276224,2.193046185781007,16,94,Reactome,2.593208593208593,green,Cellular Response To Chemical Stress,COX4I1/COX5A/COX5B/COX6A2/COX6B1/COX6C/COX7A1/COX7A2/COX7A2L/COX7B/COX7C/COX8A/CYCS/MT-CO1/MT-CO2/MT-CO3,16,0.04007734799276224,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,0.0016647533719156913,0.04866955446129992,2.5768292682926828,12,60,GO:BP,3.1266447368421053,green,Establishment Of Protein Localization To Membrane,ATAD1/LYPLA1/MTCH2/MTX2/NDUFA13/SAMM50/TIMM8A/TIMM8B/TMEM126A/TOMM22/TOMM40/TOMM5,12,0.04866955446129992,GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND,8.372331791429646e-12,2.60379518713462e-9,5.000338066260987,21,34,Reactome,12.377884615384616,blue,Hsp90 Chaperone Cycle For Steroid Hormone Receptors Shr In The Presence Of Ligand,DCTN1/DCTN4/DCTN5/DCTN6/DNAJA1/DNAJA2/DNAJA4/DYNC1H1/DYNC1I2/DYNC1LI1/DYNC1LI2/HSP90AA1/HSP90AB1/HSPA1A/HSPA2/HSPA8/TUBA1B/TUBA4A/TUBB2A/TUBB4B/TUBB6,21,2.60379518713462e-9,REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,7.671069285941119e-10,1.192851273963844e-7,4.047892720306514,22,44,Reactome,7.656903765690377,blue,Mhc Class Ii Antigen Presentation,AP1B1/AP2A1/AP2B1/AP2M1/CANX/CLTC/DCTN1/DCTN4/DCTN5/DCTN6/DYNC1H1/DYNC1I2/DYNC1LI1/DYNC1LI2/KIF5B/KLC1/SEC31A/TUBA1B/TUBA4A/TUBB2A/TUBB4B/TUBB6,22,1.192851273963844e-7,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION
KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT,7.604791961480855e-9,1.5970063119109796e-7,5.059865900383142,15,24,KEGG,12.486449864498645,blue,Reference Rab7 Regulated Microtubule Minus End Directed Transport,DCTN1/DCTN4/DCTN5/DCTN6/DYNC1H1/DYNC1I2/DYNC1LI1/DYNC1LI2/DYNLT1/TUBA1B/TUBA4A/TUBB/TUBB2A/TUBB4B/TUBB6,15,1.5970063119109796e-7,KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT
REACTOME_CILIUM_ASSEMBLY,1.933826569610504e-9,2.004733543829556e-7,4.394854953475644,19,35,Reactome,9.009297520661157,blue,Cilium Assembly,CCT2/CCT3/CCT4/CCT5/CCT8/DCTN1/DYNC1H1/DYNC1I2/HSP90AA1/MAPRE1/PPP2R1A/TCP1/TNPO1/TUBA1B/TUBA4A/TUBB/TUBB2A/TUBB4B/TUBB6,19,2.004733543829556e-7,REACTOME_CILIUM_ASSEMBLY
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT,9.46599367151504e-9,7.359810079602943e-7,3.7780332056194124,21,45,Reactome,6.664583333333334,blue,Golgi To Er Retrograde Transport,ARCN1/COPA/COPB2/DCTN1/DCTN4/DCTN5/DCTN6/DYNC1H1/DYNC1I2/DYNC1LI1/DYNC1LI2/KIF5B/KLC1/RAB18/SEC22B/SURF4/TUBA1B/TUBA4A/TUBB2A/TUBB4B/TUBB6,21,7.359810079602943e-7,REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT
REACTOME_MITOTIC_PROMETAPHASE,3.491790340157208e-8,2.1718935915777837e-6,3.845498084291188,19,40,Reactome,6.845533254624164,blue,Mitotic Prometaphase,CLIP1/CSNK2B/DCTN1/DYNC1H1/DYNC1I2/DYNC1LI1/DYNC1LI2/HSP90AA1/MAPRE1/NEK9/NUDC/PPP2R1A/RPS27/TUBA1B/TUBA4A/TUBB/TUBB2A/TUBB4B/TUBB6,19,2.1718935915777837e-6,REACTOME_MITOTIC_PROMETAPHASE
