gene,n_miss,pct_miss,mean_intensity,vote_kmeans,vote_logistic,vote_lefttail,n_mnar_votes,classification,imputation_reliable,group_miss_pval
MRPL22,16,25.806451612903224,16.37279096390886,1,1,1,3,MNAR,TRUE,0.0034982508745627187
CZIB,0,0,22.945174287823335,NA,NA,NA,NA,Complete,TRUE,NA
BABAM1,11,17.741935483870968,17.128720342876544,1,1,1,3,MNAR,TRUE,0.0024987506246876563
NDUFB11,0,0,23.287407649791174,NA,NA,NA,NA,Complete,TRUE,NA
OCIAD1,1,1.6129032258064515,20.033968636269513,0,0,0,0,MAR,TRUE,NA
MARCHF5,8,12.903225806451612,16.726409069174366,0,1,1,2,MNAR,TRUE,0.010994502748625687
CHCHD3,0,0,23.744564351329405,NA,NA,NA,NA,Complete,TRUE,NA
SIRT5,0,0,20.369992801303997,NA,NA,NA,NA,Complete,TRUE,NA
BABAM2,11,17.741935483870968,21.380623542509994,0,0,0,0,MAR,TRUE,NA
DPP3,0,0,20.378368484314304,NA,NA,NA,NA,Complete,TRUE,NA
TUBA8,0,0,22.03337647619035,NA,NA,NA,NA,Complete,TRUE,NA
MAP3K20,0,0,21.883662946224895,NA,NA,NA,NA,Complete,TRUE,NA
UGGT1,14,22.58064516129032,17.911288323971025,0,1,1,2,MNAR,TRUE,0.7631184407796102
TECR,2,3.225806451612903,20.11859339315523,0,0,0,0,MAR,TRUE,NA
ERAP1,6,9.67741935483871,20.371802919661114,0,0,0,0,MAR,TRUE,NA
CISD1,0,0,25.999332054880075,NA,NA,NA,NA,Complete,TRUE,NA
CLIC5,0,0,22.02083979080578,NA,NA,NA,NA,Complete,TRUE,NA
FAM120A,27,43.54838709677419,15.709491344274582,1,1,1,3,MNAR,TRUE,0.06696651674162919
GLTP,25,40.32258064516129,14.125696171432448,1,1,1,3,MNAR,TRUE,4.997501249375312e-4
COQ3,0,0,22.30824949626557,NA,NA,NA,NA,Complete,TRUE,NA
HSPBP1,11,17.741935483870968,17.384618230641873,0,1,1,2,MNAR,TRUE,0.0034982508745627187
MAT2B,8,12.903225806451612,23.403748270486588,0,0,0,0,MAR,TRUE,NA
MYOF,0,0,20.483379793589236,NA,NA,NA,NA,Complete,TRUE,NA
EHD2,0,0,22.900614567541414,NA,NA,NA,NA,Complete,TRUE,NA
TMOD4,3,4.838709677419355,21.511544770164885,0,0,0,0,MAR,TRUE,NA
LMCD1,0,0,25.53787802475032,NA,NA,NA,NA,Complete,TRUE,NA
CHMP5,24,38.70967741935484,16.938059375318712,1,1,1,3,MNAR,TRUE,0.0014992503748125937
CNIH4,17,27.419354838709676,20.21304067411541,0,0,0,0,MAR,TRUE,NA
NDUFAF4,10,16.129032258064516,18.46878161427026,0,1,1,2,MNAR,TRUE,0.005497251374312844
EMC3,9,14.516129032258066,17.192537497324384,0,1,1,2,MNAR,TRUE,0.8115942028985508
NDUFA13,0,0,25.224774975068346,NA,NA,NA,NA,Complete,TRUE,NA
PDP1,5,8.064516129032258,20.800255045727376,0,0,0,0,MAR,TRUE,NA
MRPL36,1,1.6129032258064515,23.377846467643455,0,0,0,0,MAR,TRUE,NA
VAPA,0,0,22.439968640730648,NA,NA,NA,NA,Complete,TRUE,NA
RNF181,30,48.38709677419355,16.575184374632386,1,1,1,3,MNAR,TRUE,0.04447776111944028
TMEM14C,42,67.74193548387096,20.02747988069771,1,0,0,1,MAR,FALSE,NA
LARS1,6,9.67741935483871,17.730981176017973,0,1,1,2,MNAR,TRUE,0.13393303348325838
SUCLA2,0,0,24.646477730554924,NA,NA,NA,NA,Complete,TRUE,NA
GMPR2,0,0,19.945289434599403,NA,NA,NA,NA,Complete,TRUE,NA
DPM3,29,46.774193548387096,18.979195735148647,1,0,1,2,MNAR,TRUE,9.995002498750624e-4
IMPACT,20,32.25806451612903,18.73694523823134,1,0,1,2,MNAR,TRUE,0.05847076461769116
ATXN10,13,20.967741935483872,16.867101251077177,1,1,1,3,MNAR,TRUE,0.06896551724137931
EPS15L1,20,32.25806451612903,15.856379578913337,1,1,1,3,MNAR,TRUE,0.34782608695652173
