pathway,LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8,LV9,LV10
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,0,0,0,0,0,0,0,0,0,0
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,0,0,0,0,0,0,0,0,0,0
REACTOME_DNA_DAMAGE_BYPASS,0,0,0,0,0,0,0,0,0,0
REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER,0,0,0,0,0,0,0,0,0,0
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,0,0,0,0,0,0,0,0,0,0
REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE,0,0,0,0,0,0,0,0,0,0
REACTOME_DNA_REPAIR,0,0,0,0,0,0,0,0,0,0
REACTOME_DNA_REPLICATION,0,0,0,0,0,0,0,0,0,0
REACTOME_DNA_REPLICATION_PRE_INITIATION,0,0,0,0,0,0,0,0,0,0
REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING,0,0,0,0,0,0,0,0,0,0
REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY,0,0,0,0,0,0,0,0,0,0
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,0,0,0,0,0,0,0,0,0,0
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,0,0,0,0,0,0,0,0,0,0
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION,0,0,0,0,0,0,0,0,0,0
REACTOME_DOWNSTREAM_TCR_SIGNALING,0,0,0,0,0,0,0,0,0,0
REACTOME_DRUG_ADME,0,0,0,0,0,0,0,0,0,0
REACTOME_DUAL_INCISION_IN_GG_NER,0,0,0,0,0,0,0,0,0,0
REACTOME_DUAL_INCISION_IN_TC_NER,0,0,0,0,0,0,0,0,0,0
REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,0,0,0,0,0,0,0,0,0,0
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE,0,0,0,0,0,0,0,0,0,0
REACTOME_EARLY_SARS_COV_2_INFECTION_EVENTS,0,0,0,0,0,0,0,0,0,0
REACTOME_ECM_PROTEOGLYCANS,0,0,0,0,0,0.1853652967301846,0,0,0,0
REACTOME_EGFR_DOWNREGULATION,0,0,0,0,0,0,0,0,0,0
REACTOME_ELASTIC_FIBRE_FORMATION,0,0,0,0,0,0,0,0,0,0
REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT,0,0,0,0,0,0,0,0,0,0
REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK,0,0,0,0,0,0,0,0,0,0
REACTOME_ENOS_ACTIVATION,0,0,0,0,0,0,0,0,0,0
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE,0,0,0,0,0,0,0,0,0,0
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING,0,0,0,0,0,0,0,0,0,0
REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS,0,0,0,0,0,0,0,0,0,0
REACTOME_EPH_EPHRIN_SIGNALING,0,0,0,0,0,0,0,0,0,0
REACTOME_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,0,0,0,0,0,0,0,0,0,0
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,0,0,0,0,0,0,0,0,0,0
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES,0,0,0,0,0,0,0,0,0,0
REACTOME_ERKS_ARE_INACTIVATED,0,0,0,0,0,0,0,0,0,0
REACTOME_ERK_MAPK_TARGETS,0,0,0,0,0,0,0,0,0,0
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT,0,0,0,0,0,0,0,0,0,0
REACTOME_ESR_MEDIATED_SIGNALING,0,0,0,0,0,0,0,0,0,0
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION,0,0,0,0,0,0,0,0,0,0
REACTOME_ETHANOL_OXIDATION,0,0,0,0,0,0,0,0,0,0
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,0,0,0,0,0,0,0,0,0,0
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,0,0,0,0,0,0,0,0,0,0.3069207495790575
REACTOME_EVASION_BY_RSV_OF_HOST_INTERFERON_RESPONSES,0,0,0,0,0,0,0,0,0,0
REACTOME_EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS,0,0,0,0,0,0,0,0,0,0
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0,0,0,0,0,0,0,0,0,0
REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING,0,0,0,0,0,0,0,0,0,0
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,0,0,0,0,0,0,0,0,0,0
REACTOME_FATTY_ACID_METABOLISM,0.1484030123556274,0,0,0,0,0,0,0,0,0
REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,0,0,0,0,0,0,0,0,0,0
REACTOME_FBXL7_DOWN_REGULATES_AURKA_DURING_MITOTIC_ENTRY_AND_IN_EARLY_MITOSIS,0,0,0,0,0,0,0,0,0,0
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION,0,0,0,0,0,0,0,0,0,0
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION,0,0,0,0,0,0,0,0,0,0
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION,0,0,0,0,0,0,0,0,0,0
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,0,0,0,0,0,0,0,0,0,0
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS,0,0,0,0,0,0,0,0,0,0
REACTOME_FCGR_ACTIVATION,0,0,0,0,0,0,0,0,0,0
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,0,0,0,0,0,0,0,0,0,0
REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION,0,0,0,0,0,0,0,0,0,0
REACTOME_FLT3_SIGNALING,0,0,0,0,0,0,0,0,0,0
REACTOME_FLT3_SIGNALING_IN_DISEASE,0,0,0,0,0,0,0,0,0,0
REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC,0,0,0,0,0,0,0,0,0,0
