"gene","cv_pre","cv_post","delta_cv","age"
"RPN1",12.0451185407684,12.430924145536,0.385805604767693,"Young"
"RPN2",34.5072989216974,27.7657998828122,-6.74149903888517,"Young"
"GNAI2",14.8052746087283,18.0026049298238,3.19733032109557,"Young"
"ATP1A1",18.9966439383412,12.8103700771883,-6.18627386115287,"Young"
"ATP1B1",24.6194621851214,15.3431360359405,-9.27632614918087,"Young"
"APOD",43.1588428024893,129.083092377211,85.9242495747221,"Young"
"ALDH2",39.6807603063181,45.8982984785126,6.21753817219447,"Young"
"S100A8",59.2059793505736,295.027656188145,235.821676837571,"Young"
"SLC25A5",16.1225066592875,18.0776781374528,1.95517147816529,"Young"
"SERPING1",33.7023731831548,39.9939326987525,6.29155951559773,"Young"
"PCCA",21.0726251958844,26.3651481968035,5.29252300091914,"Young"
"PCCB",30.6099920608326,25.7841508209916,-4.82584123984098,"Young"
"EIF2S1",11.4201593765834,13.9162218984126,2.49606252182916,"Young"
"RPLP1",27.5265967393552,60.4380758166378,32.9114790772826,"Young"
"RPLP2",25.2123622834978,35.3620155179645,10.1496532344666,"Young"
"RPLP0",27.6188778649394,32.7470579237555,5.12818005881611,"Young"
"FABP3",26.8572973231186,18.7070336219528,-8.15026370116588,"Young"
"CLEC3B",32.1527246914175,43.3821212049237,11.2293965135062,"Young"
