contrast,gene,average_intensity,logFC,adj.P.Val,pi_score,sig_pi,direction
Training_Old,CAV1,22.214644699304625,-0.03979093574525905,0.9450465738715746,0.9856642498701544,0,NS
Training_Old,ACY1,20.8088990606355,0.11093600582700348,0.8548593030677044,0.8853833431893987,0,NS
Training_Old,LMNB2,19.950366127808973,-4.946135590131462e-4,0.9995600586441044,0.9999989880319576,0,NS
Training_Old,UBXN1,16.30683629334411,-0.04592936923129187,0.9255433365518796,0.9782428748679264,0,NS
Training_Old,GBE1,22.76892055487618,0.2463691861450279,0.5380591713248623,0.4778856004317777,0,NS
Training_Old,EIF4G1,20.83791706087449,-0.10474072416911184,0.5908345991438285,0.7630998441388547,0,NS
Training_Old,PRKCQ,18.236047348502765,-0.16668020839920317,0.7237452654912476,0.7479428713285163,0,NS
Training_Old,GLO1,25.550954241786208,-0.17031598400582482,0.5457266217037436,0.6071053556093376,0,NS
Training_Old,AKR1C1,22.81592992231697,0.0890494966289559,0.9048014892038364,0.9493804133787848,0,NS
Training_Old,SSBP1,21.911563342242268,0.1036820088052366,0.8322638465093714,0.8772518089754503,0,NS
Training_Old,YWHAH,21.768815793141812,0.08339641589262214,0.7983649865435387,0.8875721504660694,0,NS
Training_Old,PLP2,15.825884992207053,0.0799546450907016,0.9636490266952572,0.9792046865980092,0,NS
Training_Old,UBE3A,16.812891123816506,-0.03284190382099083,0.9636490266952572,0.9915380891941656,0,NS
Training_Old,SRSF11,16.671915352368202,0.00368823722426014,0.9954864063133828,0.9998995548944004,0,NS
Training_Old,EEF1A2,27.126645329481025,0.06353409965738877,0.9227493061906707,0.9694529484284822,0,NS
Training_Old,CALD1,16.893537021812772,0.22396296926886097,0.8322638465093714,0.7466211046017612,0,NS
Training_Old,COL14A1,24.23154931159279,0.07481334816876384,0.9894155292205404,0.9892318905246744,0,NS
Training_Old,PTPN11,17.87591936038139,0.0327828617991095,0.9636490266952572,0.990677941113562,0,NS
Training_Old,PSME1,21.587916049624283,0.11583054131338244,0.7320521152906343,0.8199830371099314,0,NS
Training_Old,CACNG1,17.014903434911457,-0.4180536693253494,0.4057684549293098,0.17520074271274508,0,NS
Training_Old,ZNF33A,22.530902635376727,-0.2380524368450736,0.9022036585020758,0.8677449999128146,0,NS
Training_Old,PRDX1,26.62456511106916,-0.07573309645615822,0.8796796312115669,0.9408854832020938,0,NS
Training_Old,RPL18,20.982464585549703,0.4539394591007984,0.4156948185360369,0.16107316272484362,0,NS
Training_Old,C1QBP,23.557536854989507,0.10063560519988356,0.855652243325369,0.8979375727817809,0,NS
Training_Old,CKAP4,17.93826364379503,0.28348386792873725,0.6762281531564756,0.5667602425781152,0,NS
Training_Old,DPT,18.0116929649722,0.03501077073990188,0.989448788709926,0.9954317672891982,0,NS
Training_Old,KLC1,16.909473818515462,0.1389571147494202,0.7907245105204055,0.817542264977473,0,NS
Training_Old,SRSF1,18.142602796556623,0.02470937999471445,0.9894155292205404,0.996354416835343,0,NS
Training_Old,ARHGAP1,17.034487615512504,0.4719598051459464,0.16809033211750346,0.03241341086536114,1,Up
Training_Old,ACTN3,23.776276693415618,-0.01666469216566568,0.9954864063133828,0.9996229986864836,0,NS
Training_Old,PPP3CA,23.23101883003979,-0.00444551418681626,0.9954864063133828,0.9998234119590312,0,NS
Training_Old,DHX9,18.83431208695785,0.0067166391030291,0.9954864063133828,0.9996561251583348,0,NS
Training_Old,CRYZ,22.812056668561244,0.0543959762391033,0.9255433365518796,0.974118257794138,0,NS
Training_Old,SLC20A2,21.17019149634611,-0.03937149201185264,0.995071003791146,0.9968696760537088,0,NS
Training_Old,PUDP,21.166916773711957,-0.03695191443197743,0.9636490266952572,0.9903809721938946,0,NS
Training_Old,CD47,18.93469734306867,-0.18938886529143417,0.6762281531564756,0.6822391950584152,0,NS
Training_Old,PPID,19.062043441814556,-0.2098880435459307,0.8620866573364454,0.8101172613544962,0,NS
Training_Old,AHNAK,24.850957045663534,0.01291106365463434,0.9938126471141084,0.998949490873843,0,NS
Training_Old,LMOD3,16.314430893510693,0.1631993356394954,0.903243889103447,0.9080739374092236,0,NS
Training_Old,HSPA14,15.56565892817987,0.19500039706378303,0.6762281531564756,0.6717569529880714,0,NS
Training_Old,SCRN3,18.352194040407184,-0.17004913414859502,0.8322638465093714,0.8044031952014615,0,NS
Training_Old,NEXN,20.735528065396256,0.27937118707639996,0.7564660176718055,0.6363868565883524,0,NS
Training_Old,AP1B1,15.779301756625664,0.24963323262783987,0.45538569657653694,0.4128213021727384,0,NS
Training_Old,BST2,18.700319727164914,-0.1309895440997586,0.7723292351585319,0.8203832121258726,0,NS
Training_Old,PMPCA,17.637747626411265,0.31136181698211374,0.5092724330278684,0.36644817575467187,0,NS
Training_Old,ASPH,18.929588962269403,0.0943321625492466,0.9255433365518796,0.9559788204309452,0,NS
Training_Old,EFEMP1,17.573367961669966,0.12442450965072638,0.8869012694738848,0.9130034031874628,0,NS
Training_Old,STX4,14.954077837186734,-0.08263739809903825,0.9001418449132135,0.9457710105923376,0,NS
Training_Old,GRSF1,19.69316952113892,0.1271825254205119,0.8760527778984114,0.895999511135378,0,NS
Training_Old,AIMP1,20.578848057143222,0.03369729879733541,0.9376514612124928,0.9856320794687644,0,NS
Training_Old,ILF3,19.908239437825102,0.0353629206912025,0.9844723185066434,0.9941821794965052,0,NS
Training_Old,TRAP1,20.79948621440668,-0.04668576909562461,0.9411232628892084,0.9826606698770718,0,NS
Training_Old,ANK3,16.789976209709934,-0.00508984375285948,0.9954864063133828,0.9998009837466124,0,NS
Training_Old,HSPB3,21.352689541527496,0.13070700603326202,0.8638644081028736,0.882318248510328,0,NS
Training_Old,ECH1,25.221800403808135,-0.02423175063390914,0.9834489367848462,0.9956207626887964,0,NS
Training_Old,STRN3,19.31236250905939,-0.03901173496602439,0.9395802936264872,0.9835662635708802,0,NS
Training_Old,COASY,18.794407148879007,-0.05745893943824143,0.9123886741918024,0.9707882175438708,0,NS
Training_Old,TRDN,22.526022544935337,0.11728383371326956,0.9022036585020758,0.927371860186084,0,NS
Training_Old,ACACA,24.175598974275257,0.00247768944259618,0.9954864063133828,0.9999621334786756,0,NS
Training_Old,GPS1,21.618492064153436,-0.08846554304119891,0.7564660176718055,0.8687377441237959,0,NS
Training_Old,MTAP,18.2430718246637,-0.16626966523513786,0.8278052680817009,0.8025318499388484,0,NS
Training_Old,PRKAA1,20.658098536129835,0.01072923558821514,0.989448788709926,0.998613826105186,0,NS
Training_Old,TARDBP,20.16512788181537,0.02390880413093654,0.9636490266952572,0.9935791481686872,0,NS
Training_Old,PAK1,16.012816186503624,0.00535253587683115,0.9954864063133828,0.9998905473066046,0,NS
Training_Old,AIMP2,20.202146368126783,-0.03126359562633496,0.9301534170651272,0.98599165846592,0,NS
Training_Old,PRDX4,19.92033091251625,0.1544248525246985,0.8052782194692675,0.8058188195619995,0,NS
Training_Old,PAK2,19.773034160967864,0.06001937082609387,0.9022036585020758,0.963814666829372,0,NS
Training_Old,CBX3,15.867059072998778,0.05609653086897737,0.9400208897655142,0.977150212282246,0,NS
Training_Old,PSMD2,21.73907121242813,0.06560058051719508,0.8575118656902375,0.9343022654426753,0,NS
Training_Old,MYBPH,20.638619955802312,1.718838301443558,0.17699564030738874,9.17839588834254e-6,1,Up
Training_Old,SELENBP1,24.641606201056327,-0.2518758750385466,0.4468450384357174,0.402928641306272,0,NS
Training_Old,TRIM28,17.541894642648245,0.04262142131009483,0.9395802936264872,0.9821840331466892,0,NS
Training_Old,G3BP1,16.30056993751612,0.26514693455502325,0.6762281531564756,0.5905648747710447,0,NS
Training_Old,PABPC4,20.272577051471956,0.02982252854946665,0.9894155292205404,0.995538584730108,0,NS
Training_Old,SGCG,22.606415003772135,-0.1736340548371018,0.4880360377787217,0.5607950700458452,0,NS
Training_Old,EIF3I,19.093174967263757,0.12068138529729566,0.7552877616762494,0.821277698855753,0,NS
Training_Old,CTBP1,19.85818331654,0.04600745694372676,0.910965900944542,0.9762508156582757,0,NS
Training_Old,UBE2V1,22.349240015714877,-0.09578046503895976,0.855652243325369,0.9035388748136622,0,NS
Training_Old,DYNC1I2,20.035094542341117,0.08884361511854166,0.8322638465093714,0.8990529697576141,0,NS
Training_Old,ILK,20.254584273729808,0.00293923428315068,0.9954864063133828,0.9998999771172832,0,NS
Training_Old,NNT,25.755033245257373,0.07018702873011762,0.8869012694738848,0.9500741349500568,0,NS
Training_Old,SNTA1,21.236718590550428,0.06569540894861348,0.908364110698336,0.9648300534655746,0,NS
Training_Old,SNTB2,22.67976295446133,-0.06929354508591246,0.8720728289267548,0.9382165871503588,0,NS
Training_Old,SF3B2,21.74422952905963,0.03888460515427638,0.9605279217845626,0.988341635435095,0,NS
