gene,pathway,database,cluster,theme
SERPINB1,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
AKT2,response to topologically incorrect protein,GO:BP,C2,Other
STIP1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
GBP2,positive regulation of cellular component organization,GO:BP,C2,Other
KIF5B,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2,Cytoskeletal & Cell Division
HSPA4,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
PFN2,protein stabilization,GO:BP,C2,Proteostasis & Stress Response
THBS4,response to topologically incorrect protein,GO:BP,C2,Other
COPB2,endoplasmic reticulum to Golgi vesicle-mediated transport,GO:BP,C2,Intracellular Transport & Signaling
PSMC2,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
ARL3,cell division,GO:BP,C2,Cytoskeletal & Cell Division
RPL3,cytoplasmic translation,GO:BP,C2,Other
CCT6A,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
ARL1,endomembrane system organization,GO:BP,C2,Other
EIF2S3,cytoplasmic translation,GO:BP,C2,Other
RPS27,cytoplasmic translation,GO:BP,C2,Other
PAFAH1B1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2,Cytoskeletal & Cell Division
PSMC4,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
USP5,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
BAG6,protein stabilization,GO:BP,C2,Proteostasis & Stress Response
RPS9,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
RPS10,cytoplasmic translation,GO:BP,C2,Other
ARCN1,endoplasmic reticulum to Golgi vesicle-mediated transport,GO:BP,C2,Intracellular Transport & Signaling
CD151,positive regulation of cellular component organization,GO:BP,C2,Other
CCT5,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
NES,negative regulation of apoptotic process,GO:BP,C2,Other
PXN,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2,Cytoskeletal & Cell Division
CCT3,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
SARS1,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
GDI2,cilium assembly,GO:BP,C2,Other
SERPINH1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
CSRP3,endomembrane system organization,GO:BP,C2,Other
DNM2,establishment of organelle localization,GO:BP,C2,Other
CCT8,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
CCT4,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
RAB7A,establishment of organelle localization,GO:BP,C2,Other
BCAP31,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
COPA,endoplasmic reticulum to Golgi vesicle-mediated transport,GO:BP,C2,Intracellular Transport & Signaling
SEC24C,endoplasmic reticulum to Golgi vesicle-mediated transport,GO:BP,C2,Intracellular Transport & Signaling
PRKAG1,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
PRKAA2,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
HSPA2,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
VCP,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2,Cytoskeletal & Cell Division
EIF3B,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
ARPP19,cell division,GO:BP,C2,Cytoskeletal & Cell Division
RPS20,cytoplasmic translation,GO:BP,C2,Other
S100A10,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
RAB2A,endomembrane system organization,GO:BP,C2,Other
RAB10,cell division,GO:BP,C2,Cytoskeletal & Cell Division
ACTR2,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
COPS2,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
RPL26,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
RPL27,cytoplasmic translation,GO:BP,C2,Other
B2M,positive regulation of cellular component organization,GO:BP,C2,Other
UFM1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
HNRNPK,negative regulation of apoptotic process,GO:BP,C2,Other
RPS7,protein stabilization,GO:BP,C2,Proteostasis & Stress Response
PSMC1,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
PSMC5,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
RPS8,cytoplasmic translation,GO:BP,C2,Other
RPS15A,cytoplasmic translation,GO:BP,C2,Other
RPS16,cytoplasmic translation,GO:BP,C2,Other
YWHAE,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2,Cytoskeletal & Cell Division
RPS23,cytoplasmic translation,GO:BP,C2,Other
RPS13,cytoplasmic translation,GO:BP,C2,Other
RPS11,cytoplasmic translation,GO:BP,C2,Other
TMSB4X,regulation of cell cycle G1/S phase transition,GO:BP,C2,Cytoskeletal & Cell Division
PSMC6,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
RPL7A,cytoplasmic translation,GO:BP,C2,Other
ETF1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
RPS4X,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
RPS6,cytoplasmic translation,GO:BP,C2,Other
RAN,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2,Cytoskeletal & Cell Division
RPS24,cytoplasmic translation,GO:BP,C2,Other
RPS25,cytoplasmic translation,GO:BP,C2,Other
RPS26,cytoplasmic translation,GO:BP,C2,Other
RPL11,protein stabilization,GO:BP,C2,Proteostasis & Stress Response
PPIA,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
RPS27A,cytoplasmic translation,GO:BP,C2,Other
YWHAZ,establishment of organelle localization,GO:BP,C2,Other
DYNLL1,microtubule-based transport,GO:BP,C2,Cytoskeletal & Cell Division
DYNLT1,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2,Cytoskeletal & Cell Division
YBX1,cell division,GO:BP,C2,Cytoskeletal & Cell Division
CSNK2B,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
EEF1A1,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
TUBA1B,cell division,GO:BP,C2,Cytoskeletal & Cell Division
TUBA4A,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
CCT2,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
PRKDC,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
CLTC,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2,Cytoskeletal & Cell Division
REEP5,endomembrane system organization,GO:BP,C2,Other
HNRNPU,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2,Cytoskeletal & Cell Division
SPTBN1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2,Cytoskeletal & Cell Division
TIAL1,cell division,GO:BP,C2,Cytoskeletal & Cell Division
GBE1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
EIF4G1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C2,Proteostasis & Stress Response
EEF1A2,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
PSME1,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
KLC1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2,Cytoskeletal & Cell Division
ARHGAP1,regulation of cellular localization,GO:BP,C2,Other
DHX9,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
PPID,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
AHNAK,endomembrane system organization,GO:BP,C2,Other
HSPA14,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
AP1B1,endomembrane system organization,GO:BP,C2,Other
ANK3,cell division,GO:BP,C2,Cytoskeletal & Cell Division
HSPB3,response to topologically incorrect protein,GO:BP,C2,Other
ACACA,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
GPS1,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
PRKAA1,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
AIMP2,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
PAK2,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
TRIM28,regulation of protein localization to nucleus,GO:BP,C2,Other
DYNC1I2,microtubule-based transport,GO:BP,C2,Cytoskeletal & Cell Division
PDAP1,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
PICALM,establishment of organelle localization,GO:BP,C2,Other
CAMK2B,positive regulation of cellular component organization,GO:BP,C2,Other
CAMK2D,regulation of cellular localization,GO:BP,C2,Other
DCTN2,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2,Cytoskeletal & Cell Division
CUL4A,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
FHL1,regulation of cell cycle G1/S phase transition,GO:BP,C2,Cytoskeletal & Cell Division
SPTAN1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2,Cytoskeletal & Cell Division
TUBB2A,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C2,Proteostasis & Stress Response
SCARB2,endomembrane system organization,GO:BP,C2,Other
IL18,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
EIF3A,cytoplasmic translation,GO:BP,C2,Other
DCTN1,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2,Cytoskeletal & Cell Division
DYNC1H1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2,Cytoskeletal & Cell Division
EIF2B1,cytoplasmic translation,GO:BP,C2,Other
KPNB1,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2,Cytoskeletal & Cell Division
SEPTIN2,cell division,GO:BP,C2,Cytoskeletal & Cell Division
EEA1,endomembrane system organization,GO:BP,C2,Other
PEA15,negative regulation of apoptotic process,GO:BP,C2,Other
PLEC,cell division,GO:BP,C2,Cytoskeletal & Cell Division
SEC23A,endoplasmic reticulum to Golgi vesicle-mediated transport,GO:BP,C2,Intracellular Transport & Signaling
MAPRE1,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2,Cytoskeletal & Cell Division
TSC22D1,negative regulation of apoptotic process,GO:BP,C2,Other
RAB11B,establishment of organelle localization,GO:BP,C2,Other
HSPB2,response to topologically incorrect protein,GO:BP,C2,Other
SEPTIN7,cell division,GO:BP,C2,Cytoskeletal & Cell Division
DDB1,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
KLHL40,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
RABL3,protein stabilization,GO:BP,C2,Proteostasis & Stress Response
ECPAS,response to endoplasmic reticulum stress,GO:BP,C2,Other
NXN,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
LAMTOR1,endomembrane system organization,GO:BP,C2,Other
TRIM72,endomembrane system organization,GO:BP,C2,Other
COPS6,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
RRM2B,negative regulation of apoptotic process,GO:BP,C2,Other
MYH14,cell division,GO:BP,C2,Cytoskeletal & Cell Division
MTDH,negative regulation of apoptotic process,GO:BP,C2,Other
CAND1,positive regulation of cellular component organization,GO:BP,C2,Other
MUSTN1,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
UNC45B,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
KLHDC8B,cell division,GO:BP,C2,Cytoskeletal & Cell Division
PM20D2,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
TXNDC5,negative regulation of apoptotic process,GO:BP,C2,Other
FAM98A,positive regulation of cellular component organization,GO:BP,C2,Other
ABCF1,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
RDH11,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
NEK9,cell division,GO:BP,C2,Cytoskeletal & Cell Division
DNAJA4,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C2,Proteostasis & Stress Response
SYNE2,establishment of organelle localization,GO:BP,C2,Other
GCN1,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
UFD1,response to topologically incorrect protein,GO:BP,C2,Other
COPS5,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
KHSRP,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C2,Proteostasis & Stress Response
USP9X,cell division,GO:BP,C2,Cytoskeletal & Cell Division
ERGIC1,endoplasmic reticulum to Golgi vesicle-mediated transport,GO:BP,C2,Intracellular Transport & Signaling
FERMT2,regulation of protein localization to nucleus,GO:BP,C2,Other
AP2M1,positive regulation of cellular component organization,GO:BP,C2,Other
MSI2,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
PDXP,cell division,GO:BP,C2,Cytoskeletal & Cell Division
DDRGK1,response to topologically incorrect protein,GO:BP,C2,Other
USP47,negative regulation of apoptotic process,GO:BP,C2,Other
PFDN5,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
S100A13,establishment of organelle localization,GO:BP,C2,Other
EIF3C,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
TSG101,establishment of organelle localization,GO:BP,C2,Other
CCT7,chaperone-mediated protein folding,GO:BP,C2,Proteostasis & Stress Response
FYCO1,establishment of organelle localization,GO:BP,C2,Other
VPS25,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
ERP44,response to topologically incorrect protein,GO:BP,C2,Other
ESYT1,endomembrane system organization,GO:BP,C2,Other
TMEM43,endomembrane system organization,GO:BP,C2,Other
TPPP3,positive regulation of cellular component organization,GO:BP,C2,Other
AP1M1,endomembrane system organization,GO:BP,C2,Other
TOLLIP,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
RAB1B,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
TMX1,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
CHMP4B,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2,Cytoskeletal & Cell Division
TOR1AIP2,endomembrane system organization,GO:BP,C2,Other
EHD1,cilium assembly,GO:BP,C2,Other
UBE2Z,negative regulation of apoptotic process,GO:BP,C2,Other
GORASP2,endomembrane system organization,GO:BP,C2,Other
CACYBP,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
PREB,establishment of organelle localization,GO:BP,C2,Other
RAB18,endomembrane system organization,GO:BP,C2,Other
VTA1,endomembrane system organization,GO:BP,C2,Other
RTN4,protein stabilization,GO:BP,C2,Proteostasis & Stress Response
SAR1A,establishment of organelle localization,GO:BP,C2,Other
ARL8B,cell division,GO:BP,C2,Cytoskeletal & Cell Division
CNIH4,endoplasmic reticulum to Golgi vesicle-mediated transport,GO:BP,C2,Intracellular Transport & Signaling
EMC3,endomembrane system organization,GO:BP,C2,Other
EIF3K,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
HSPB7,response to topologically incorrect protein,GO:BP,C2,Other
SEPTIN9,HALLMARK_MITOTIC_SPINDLE,Hallmark,C2,Cytoskeletal & Cell Division
UBQLN2,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
BCAP29,endoplasmic reticulum to Golgi vesicle-mediated transport,GO:BP,C2,Intracellular Transport & Signaling
HSPB8,response to topologically incorrect protein,GO:BP,C2,Other
VPS28,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
APPL1,positive regulation of cellular component organization,GO:BP,C2,Other
PSME2,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
TBC1D24,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
TMCO1,endomembrane system organization,GO:BP,C2,Other
STUB1,response to topologically incorrect protein,GO:BP,C2,Other
PSMD13,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
LIMCH1,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
MAPRE3,cell division,GO:BP,C2,Cytoskeletal & Cell Division
EIF3L,cytoplasmic translation,GO:BP,C2,Other
NUDC,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2,Cytoskeletal & Cell Division
SBDS,microtubule cytoskeleton organization involved in mitosis,GO:BP,C2,Cytoskeletal & Cell Division
PTRH2,negative regulation of apoptotic process,GO:BP,C2,Other
HBS1L,regulation of protein metabolic process,GO:BP,C2,Metabolic & Redox Regulation
HYOU1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C2,Proteostasis & Stress Response
UCHL5,HALLMARK_MTORC1_SIGNALING,Hallmark,C2,Proteostasis & Stress Response
SRPRB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,C2,Proteostasis & Stress Response
COPG1,establishment of organelle localization,GO:BP,C2,Other
DYNC1LI1,cell division,GO:BP,C2,Cytoskeletal & Cell Division
TARS3,amino acid metabolic process,GO:BP,C3,Metabolic & Redox Regulation
PGP,lipid metabolic process,GO:BP,C3,Mitochondrial & Energy Metabolism
NUDT19,monocarboxylic acid catabolic process,GO:BP,C3,Other
NDUFS8,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
PDHX,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
DNM1L,monoatomic ion transport,GO:BP,C3,Intracellular Transport & Signaling
NDUFA4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
CES2,lipid metabolic process,GO:BP,C3,Mitochondrial & Energy Metabolism
SDHD,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
COX7A2L,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
NDUFAB1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
OPLAH,modified amino acid metabolic process,GO:BP,C3,Metabolic & Redox Regulation
MGST3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
UQCRQ,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
UQCR11,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
NDUFA1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
BCAT2,lipid metabolic process,GO:BP,C3,Mitochondrial & Energy Metabolism
NDUFS4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
AKR7A2,lipid metabolic process,GO:BP,C3,Mitochondrial & Energy Metabolism
TIMM44,mitochondrial transmembrane transport,GO:BP,C3,Mitochondrial & Energy Metabolism
NDUFB5,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
NDUFB3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
NDUFA2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
SLC25A20,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
IDH3B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
NDUFS5,monoatomic ion transport,GO:BP,C3,Intracellular Transport & Signaling
OPA1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
PFKFB2,phosphate-containing compound metabolic process,GO:BP,C3,Metabolic & Redox Regulation
NOL3,monoatomic ion transport,GO:BP,C3,Intracellular Transport & Signaling
COQ9,HALLMARK_ADIPOGENESIS,Hallmark,C3,Mitochondrial & Energy Metabolism
NDUFS7,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
NDUFS2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
NIPSNAP2,monoatomic ion transport,GO:BP,C3,Intracellular Transport & Signaling
NDUFS6,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
CS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
MTX2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
NDUFB1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
PMPCB,mitochondrial transmembrane transport,GO:BP,C3,Mitochondrial & Energy Metabolism
NDUFS3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
ECI2,monocarboxylic acid catabolic process,GO:BP,C3,Other
LYPLA1,lipid metabolic process,GO:BP,C3,Mitochondrial & Energy Metabolism
SLC25A12,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
SCO1,respiratory chain complex IV assembly,GO:BP,C3,Mitochondrial & Energy Metabolism
ALDH1L1,phosphate-containing compound metabolic process,GO:BP,C3,Metabolic & Redox Regulation
ATP5PD,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
ATP5MG,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
TOMM70,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
NDUFB6,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
NDUFA3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
NDUFB4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
NDUFB8,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
NDUFA7,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
LETM1,mitochondrial transmembrane transport,GO:BP,C3,Mitochondrial & Energy Metabolism
NDUFC2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
NDUFA10,monoatomic ion transport,GO:BP,C3,Intracellular Transport & Signaling
PGLS,phosphate-containing compound metabolic process,GO:BP,C3,Metabolic & Redox Regulation
MPC2,mitochondrial transmembrane transport,GO:BP,C3,Mitochondrial & Energy Metabolism
ETHE1,modified amino acid metabolic process,GO:BP,C3,Metabolic & Redox Regulation
CAVIN2,HALLMARK_ADIPOGENESIS,Hallmark,C3,Mitochondrial & Energy Metabolism
MLYCD,monocarboxylic acid catabolic process,GO:BP,C3,Other
AIFM1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
NUDT3,phosphate-containing compound metabolic process,GO:BP,C3,Metabolic & Redox Regulation
NDUFB10,monoatomic ion transport,GO:BP,C3,Intracellular Transport & Signaling
TOMM40,mitochondrial transmembrane transport,GO:BP,C3,Mitochondrial & Energy Metabolism
GLUD1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
MT-CO2,monoatomic ion transport,GO:BP,C3,Intracellular Transport & Signaling
MT-CO3,monoatomic ion transport,GO:BP,C3,Intracellular Transport & Signaling
GOT2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
ASS1,amino acid metabolic process,GO:BP,C3,Metabolic & Redox Regulation
FN1,phosphate-containing compound metabolic process,GO:BP,C3,Metabolic & Redox Regulation
MT-ND1,monoatomic ion transport,GO:BP,C3,Intracellular Transport & Signaling
MT-ND2,monoatomic ion transport,GO:BP,C3,Intracellular Transport & Signaling
MT-ND3,monoatomic ion transport,GO:BP,C3,Intracellular Transport & Signaling
MT-ND4,monoatomic ion transport,GO:BP,C3,Intracellular Transport & Signaling
MT-ND5,monoatomic ion transport,GO:BP,C3,Intracellular Transport & Signaling
MT-ATP8,monoatomic ion transport,GO:BP,C3,Intracellular Transport & Signaling
SOD2,response to decreased oxygen levels,GO:BP,C3,Other
SLC25A5,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
PCCA,monocarboxylic acid catabolic process,GO:BP,C3,Other
PCCB,monocarboxylic acid catabolic process,GO:BP,C3,Other
FABP3,lipid metabolic process,GO:BP,C3,Mitochondrial & Energy Metabolism
ATP5F1B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
UQCRH,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
FH,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
SOD3,response to decreased oxygen levels,GO:BP,C3,Other
PDHA1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
CYC1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
ACAA1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
RBP1,lipid metabolic process,GO:BP,C3,Mitochondrial & Energy Metabolism
COX6C,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
FDX1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
COX8A,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
DLAT,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
COX5B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
HSPD1,mitochondrial transmembrane transport,GO:BP,C3,Mitochondrial & Energy Metabolism
PDHB,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
ACADM,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
SLC25A4,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
SLC25A6,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
BCKDHA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
COX4I1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
ETFA,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,C3,Mitochondrial & Energy Metabolism
FDPS,lipid metabolic process,GO:BP,C3,Mitochondrial & Energy Metabolism
