quadrant,gene
Reversed_AgingUp_TrainingDown,TBC1D24
Reversed_AgingUp_TrainingDown,EIF4B
Reversed_AgingUp_TrainingDown,MTAP
Reversed_AgingUp_TrainingDown,KARS1
Reversed_AgingUp_TrainingDown,WARS1
Reversed_AgingUp_TrainingDown,USP24
Reversed_AgingUp_TrainingDown,CUTA
Reversed_AgingUp_TrainingDown,GPD2
Reversed_AgingUp_TrainingDown,UBE3A
Reversed_AgingUp_TrainingDown,MTPN
Reversed_AgingUp_TrainingDown,PPIL3
Reversed_AgingUp_TrainingDown,GPX1
Reversed_AgingUp_TrainingDown,THNSL1
Reversed_AgingUp_TrainingDown,LDHD
Reversed_AgingUp_TrainingDown,TKFC
Reversed_AgingUp_TrainingDown,RAB1A
Reversed_AgingUp_TrainingDown,EIF2B4
Reversed_AgingUp_TrainingDown,LRRC40
Reversed_AgingUp_TrainingDown,NTPCR
Reversed_AgingUp_TrainingDown,TXNRD2
Reversed_AgingUp_TrainingDown,TNMD
Reversed_AgingUp_TrainingDown,GCSH
Reversed_AgingUp_TrainingDown,APOOL
Reversed_AgingUp_TrainingDown,YKT6
Reversed_AgingUp_TrainingDown,RHOA
Reversed_AgingUp_TrainingDown,ETFDH
Reversed_AgingUp_TrainingDown,PSMB5
Reversed_AgingUp_TrainingDown,JCHAIN
Reversed_AgingUp_TrainingDown,PARK7
Reversed_AgingUp_TrainingDown,CLPTM1
Reversed_AgingUp_TrainingDown,FKBP1A
Reversed_AgingUp_TrainingDown,PDAP1
Reversed_AgingUp_TrainingDown,PCYT1A
Reversed_AgingUp_TrainingDown,ATP6V1B2
Reversed_AgingUp_TrainingDown,PGM1
Reversed_AgingUp_TrainingDown,PYGB
Reversed_AgingUp_TrainingDown,NDUFB7
Reversed_AgingUp_TrainingDown,NDUFAF2
Reversed_AgingUp_TrainingDown,BDH1
Reversed_AgingUp_TrainingDown,PHYKPL
Reversed_AgingUp_TrainingDown,NSFL1C
Reversed_AgingUp_TrainingDown,RTN4
Reversed_AgingUp_TrainingDown,PGAM2
Reversed_AgingUp_TrainingDown,PTPA
Reversed_AgingUp_TrainingDown,COL7A1
Reversed_AgingUp_TrainingDown,HSD17B10
Reversed_AgingUp_TrainingDown,IDH1
Reversed_AgingUp_TrainingDown,DGLUCY
Reversed_AgingUp_TrainingDown,ART3
Reversed_AgingUp_TrainingDown,SEC61B
Reversed_AgingUp_TrainingDown,ATP2B1
Reversed_AgingUp_TrainingDown,FBP1
Reversed_AgingUp_TrainingDown,PAFAH1B3
Reversed_AgingUp_TrainingDown,UFM1
Reversed_AgingUp_TrainingDown,MTHFD1
Reversed_AgingUp_TrainingDown,MOB1A
Reversed_AgingUp_TrainingDown,TBC1D17
Reversed_AgingUp_TrainingDown,ARAF
Reversed_AgingUp_TrainingDown,OXSR1
Reversed_AgingUp_TrainingDown,NUTF2
Reversed_AgingUp_TrainingDown,COL18A1
Reversed_AgingUp_TrainingDown,WDR77
Reversed_AgingUp_TrainingDown,ALDH1A1
Reversed_AgingUp_TrainingDown,GNPDA1
Reversed_AgingUp_TrainingDown,RBP4
Reversed_AgingUp_TrainingDown,ATP5PB
Reversed_AgingUp_TrainingDown,AK3
Reversed_AgingUp_TrainingDown,TBCE
Reversed_AgingUp_TrainingDown,ABHD14B
Reversed_AgingUp_TrainingDown,SESN1
Reversed_AgingUp_TrainingDown,VPS28
Reversed_AgingUp_TrainingDown,FDX1
Reversed_AgingUp_TrainingDown,ALDOA
Reversed_AgingUp_TrainingDown,PPIL1
Reversed_AgingUp_TrainingDown,RAB7A
Reversed_AgingUp_TrainingDown,APOD
Reversed_AgingUp_TrainingDown,NFIC
Reversed_AgingUp_TrainingDown,NUDT16
Reversed_AgingUp_TrainingDown,EIF1
Reversed_AgingUp_TrainingDown,EPHA2
Reversed_AgingUp_TrainingDown,CAT
Reversed_AgingUp_TrainingDown,GMPR
Reversed_AgingUp_TrainingDown,AASDHPPT
Reversed_AgingUp_TrainingDown,FDPS
Reversed_AgingUp_TrainingDown,CMC2
Reversed_AgingUp_TrainingDown,COPS2
Reversed_AgingUp_TrainingDown,EIF4H
Reversed_AgingUp_TrainingDown,SZRD1
Reversed_AgingUp_TrainingDown,TSC22D1
Reversed_AgingUp_TrainingDown,DNAJB2
Reversed_AgingUp_TrainingDown,PPA2
Reversed_AgingUp_TrainingDown,LRRC20
Reversed_AgingUp_TrainingDown,PLAA
Reversed_AgingUp_TrainingDown,PRXL2A
Reversed_AgingUp_TrainingDown,TMEM126A
Reversed_AgingUp_TrainingDown,LNPK
Reversed_AgingUp_TrainingDown,PRKAR2A
Reversed_AgingUp_TrainingDown,PIP4K2A
Reversed_AgingUp_TrainingDown,MXRA7
Reversed_AgingUp_TrainingDown,DBI
Reversed_AgingUp_TrainingDown,IFIT2
Reversed_AgingUp_TrainingDown,BCO2
Reversed_AgingUp_TrainingDown,OLA1
Reversed_AgingUp_TrainingDown,SPCS1
Reversed_AgingUp_TrainingDown,ST13
Reversed_AgingUp_TrainingDown,AHCY
Reversed_AgingUp_TrainingDown,TPPP
Reversed_AgingUp_TrainingDown,MECP2
Reversed_AgingUp_TrainingDown,GMPR2
Reversed_AgingUp_TrainingDown,RAB2A
Reversed_AgingUp_TrainingDown,ALDH3A2
Reversed_AgingUp_TrainingDown,UBQLN1
Reversed_AgingUp_TrainingDown,RAC1
Reversed_AgingUp_TrainingDown,CZIB
Reversed_AgingUp_TrainingDown,OXCT1
Reversed_AgingUp_TrainingDown,APOO
Reversed_AgingUp_TrainingDown,ALDH1L1
Reversed_AgingUp_TrainingDown,UBXN1
Reversed_AgingUp_TrainingDown,SLC29A1
Reversed_AgingUp_TrainingDown,VPS26A
Reversed_AgingUp_TrainingDown,DCPS
Reversed_AgingUp_TrainingDown,ATP5MG
Reversed_AgingUp_TrainingDown,MCCC2
Reversed_AgingUp_TrainingDown,COX4I1
Reversed_AgingUp_TrainingDown,PEX11B
Reversed_AgingUp_TrainingDown,SRP14
Reversed_AgingUp_TrainingDown,PARVB
Reversed_AgingUp_TrainingDown,SNX5
Reversed_AgingUp_TrainingDown,HLA-DRB1
Reversed_AgingUp_TrainingDown,MTX2
Reversed_AgingUp_TrainingDown,NDUFS3
Reversed_AgingUp_TrainingDown,PPID
Reversed_AgingUp_TrainingDown,GUK1
Reversed_AgingUp_TrainingDown,CAVIN2
Reversed_AgingUp_TrainingDown,COMMD6
Reversed_AgingUp_TrainingDown,MCTS1
Reversed_AgingUp_TrainingDown,COPS5
Reversed_AgingUp_TrainingDown,HSPBP1
Reversed_AgingUp_TrainingDown,VDAC3
Reversed_AgingUp_TrainingDown,GLRX5
Reversed_AgingUp_TrainingDown,NDUFB4
Reversed_AgingUp_TrainingDown,TFRC
Reversed_AgingUp_TrainingDown,COX7B
Reversed_AgingUp_TrainingDown,TARS3
Reversed_AgingUp_TrainingDown,NUDT9
Reversed_AgingUp_TrainingDown,PPP3CB
Reversed_AgingUp_TrainingDown,PARVA
Reversed_AgingUp_TrainingDown,UBE2V2
Reversed_AgingUp_TrainingDown,CAND2
Reversed_AgingUp_TrainingDown,PURB
Reversed_AgingUp_TrainingDown,PGRMC1
Reversed_AgingUp_TrainingDown,MRRF
Reversed_AgingUp_TrainingDown,PSMB2
Reversed_AgingUp_TrainingDown,PIN4
Reversed_AgingUp_TrainingDown,ADH5
Reversed_AgingUp_TrainingDown,CLTB
Reversed_AgingUp_TrainingDown,CNDP2
Reversed_AgingUp_TrainingDown,ASMTL
Reversed_AgingUp_TrainingDown,OGDH
Reversed_AgingUp_TrainingDown,MICU2
Reversed_AgingUp_TrainingDown,CD59
Reversed_AgingUp_TrainingDown,LACTB
Reversed_AgingUp_TrainingDown,ANK3
Reversed_AgingUp_TrainingDown,MFN1
Reversed_AgingUp_TrainingDown,NDUFA5
Reversed_AgingUp_TrainingDown,UBE2D1
Reversed_AgingUp_TrainingDown,ERP44
Reversed_AgingUp_TrainingDown,SUCLG2
Reversed_AgingUp_TrainingDown,GABARAPL2
Reversed_AgingUp_TrainingDown,OPA3
Reversed_AgingUp_TrainingDown,FERMT2
Reversed_AgingUp_TrainingDown,MRPL21
Reversed_AgingUp_TrainingDown,PUDP
Reversed_AgingUp_TrainingDown,H1-0
Reversed_AgingUp_TrainingDown,CACNA2D1
Reversed_AgingUp_TrainingDown,IMPACT
Reversed_AgingUp_TrainingDown,HNRNPH3
Reversed_AgingUp_TrainingDown,EHD2
Reversed_AgingUp_TrainingDown,FBLN1
